business_name,website,phone,street,city,state,country,category,rating,reviews,emails,email_count,platform,google_maps_url,source_file
Children's Choice Academy,http://www.childrenschoiceacademy.net/,(619) 439-0646,73 N 2nd Ave,Chula Vista,California,US,Preschool,4.9,187,"lizs@childrenschoicepreschool.com, breez@childrenschoicepreschool.com, brendac@childrenschoicepreschool.com, roxannal@childrenschoicepreschool.com, rosam@childrenschoicepreschool.com, britneye@childrenschoicepreschool.com, kaylat@childrenschoicepreschool.com, jenni@childrenschoicepreschool.com",8,WordPress,https://www.google.com/maps/search/?api=1&query=Children's%20Choice%20Academy&query_place_id=ChIJd9aWolVT2YARdyEzn8PICdE,"Jan 5, 2026"
City Realty Group,http://www.cityrealtyboston.com/,(617) 751-5119,500 Lincoln St 2nd Floor,Allston,Massachusetts,US,Real estate agency,4.2,224,"help@cityrealtyboston.com, accounting@cityrealtyboston.com, ap@cityrealtyboston.com, ar@cityrealtyboston.com, citykids@cityrealtyboston.com, hoa@cityrealtyboston.com, rentals@cityrealtyboston.com, reschool@cityrealtyboston.com",8,"WordPress, Wix",https://www.google.com/maps/search/?api=1&query=City%20Realty%20Group&query_place_id=ChIJDf4pE5h544kRNqaIK73RCAI,"Jan 7, 2026"
Mt. Taylor Children's Center,http://mtccschools.com/,(707) 576-0773,1451 Slater St,Santa Rosa,California,US,Day care center,5,13,"mtcctoo@gmail.com, mtccone@gmail.com, mtccthree@gmail.com, mtccrp@gmail.com, mtccsr@gmail.com, mtcc812vc@gmail.com, your@email.com",7,,https://www.google.com/maps/search/?api=1&query=Mt.%20Taylor%20Children's%20Center&query_place_id=ChIJ0yeSqPVHhIARJw3j5kkgNSg,"Jan 5, 2026"
ALDEWIN ROSE CONTRACTING LLC,http://www.aldewinrosecontractors.com/?utm_source=gmb&utm_medium=referral,(313) 974-7274,13019 Puritan Ave,Detroit,Michigan,US,Construction company,5,12,"aldewinrose@gmail.com, bricewinthropindustries@gmail.com, mjdindustries@gmail.com, items.aldewinrose@gmail.com, contactcontactaldewinrose@gmail.com, usaaldewinrose@gmail.com, rachel@aldewinroseconstruction.com",7,"WordPress, Wix",https://www.google.com/maps/search/?api=1&query=ALDEWIN%20ROSE%20CONTRACTING%20LLC&query_place_id=ChIJY7KiVfLLJIgRuI14IOsTkiI,"Jan 7, 2026"
Little Lukes Preschool & Childcare Center,https://littlelukes.com/,(315) 227-2555,2555 Hambletonian Way,Camillus,New York,US,Preschool,5,1,"dewitt@littlelukes.com, radisson@littlelukes.com, camillus@littlelukes.com, fulton@littlelukes.com, oswego@littlelukes.com, pulaski@littlelukes.com, info@littlelukes.com",7,,https://www.google.com/maps/search/?api=1&query=Little%20Lukes%20Preschool%20%26%20Childcare%20Center&query_place_id=ChIJLwprAj752YkRHIJ8ZS5eLyc,"Jan 5, 2026"
Klappenberger & Son Painting,https://klappenbergerandson.com/locations/montgomery-county/,(301) 690-8470,18508 Kingshill Rd,Germantown,Maryland,US,Painter,4.9,96,"amironov@klappenbergerandson.com, scaulder@klappenbergerandson.com, kennyl@klappenbergerandson.com, saidul@klappenbergerandson.com, justin@klappenbergerandson.com, rustygates@klappenbergerandson.com, ron@klappenbergerandson.com",7,WordPress,https://www.google.com/maps/search/?api=1&query=Klappenberger%20%26%20Son%20Painting&query_place_id=ChIJb-f4ETjNt4kRmwaDhD63ApQ,"Jan 2, 2026"
Nico Pro Construction,https://nico-pro-construction.com/,(279) 214-8482,1750 Vernon St,Roseville,California,US,General contractor,4.9,54,"nazariy@nico-pro-construction.com, nico.pro.construction1@gmail.com, e.sulakov@gmail.com, vse.zdorovo@gmail.com, lexsoft.development.inc@gmail.com, mikolaparcuk@gmail.com, dev@based-agency.com",7,,https://www.google.com/maps/search/?api=1&query=Nico%20Pro%20Construction&query_place_id=ChIJKbSCTtVF-aARlURvN-zc7G8,"Jan 7, 2026"
Jacob Academy,http://www.jacobacademy.com/,(303) 988-0020,1139 S Alkire St,Lakewood,Colorado,US,Child care agency,4.8,35,"jewelldirector@jacobacademy.com, infantdirector@jacobacademy.com, tammy@jacobacademy.com, prekdirector@jacobacademy.com, sadirector@jacobacademy.com, brittany@jacobacademy.com, finneybrittany@jacobacademy.com",7,WordPress,https://www.google.com/maps/search/?api=1&query=Jacob%20Academy&query_place_id=ChIJS7YrGsCDa4cRu5udYKLnpZU,"Jan 5, 2026"
Bergmeyer,http://www.bergmeyer.com/,(617) 542-1025,51 Sleeper St Ste 600,Boston,Massachusetts,US,Design agency,4.8,6,"hello@bergmeyer.com, plus@bergmeyer.com, careers@bergmeyer.com, library@bergmeyer.com, inquirieshello@bergmeyer.com, inquiriescareers@bergmeyer.com, vendorslibrary@bergmeyer.com",7,,https://www.google.com/maps/search/?api=1&query=Bergmeyer&query_place_id=ChIJEc1iz39w44kRndWpJwkVUzQ,"Jan 7, 2026"
Good Shepherd Childcare Center,https://www.ccadm.org/sh_projects/child-development-services/,(305) 235-1756,18601 Franjo Rd,Cutler Bay,Florida,US,Day care center,4.7,33,"info@ccadm.org, centrohispano@ccadm.org, goodshepherd@ccadm.org, holyredeemer@ccadm.org, notredame@ccadm.org, sagradafam@ccadm.org, southdade@ccadm.org",7,WordPress,https://www.google.com/maps/search/?api=1&query=Good%20Shepherd%20Childcare%20Center&query_place_id=ChIJAYobe2nE2YgRnf-oHEJy4No,"Jan 5, 2026"
Metro Roofing Supplies,https://www.srsdistribution.com/en/markets/our-brands/MEDAN/,(203) 790-9955,30 Shelter Rock Rd,Danbury,Connecticut,US,Roofing supply store,4.6,33,"matt.geronimo@srsbuildingproducts.com, frank.butera@srsbuildingproducts.com, andrew.costello@srsbuildingproducts.com, gabriela.espinosa@srsbuildingproducts.com, igor.teixeira@srsbuildingproducts.com, paul.thibodeau@srsbuildingproducts.com, ordersdanbury@srsbuildingproducts.com",7,,https://www.google.com/maps/search/?api=1&query=Metro%20Roofing%20Supplies&query_place_id=ChIJieuOow__54kRT_nzIgHUxfQ,"Jan 7, 2026"
SRS Building Products,https://www.srsdistribution.com/en/markets/our-brands/MEWIN/,(860) 544-0677,60 Baker Hollow Rd,Windsor,Connecticut,US,Roofing supply store,4.5,11,"dominic.cirillo@srsbuildingproducts.com, jennifer.bruening@srsbuildingproducts.com, david.dixon@srsbuildingproducts.com, jonah.joy@srsbuildingproducts.com, rsobczak@srsbuildingproducts.com, jessica.uccello@srsbuildingproducts.com, orderswindsor@srsbuildingproducts.com",7,,https://www.google.com/maps/search/?api=1&query=SRS%20Building%20Products&query_place_id=ChIJdQ4oRv3_5okRkA4lL1b5_iI,"Jan 2, 2026 + Jan 7, 2026"
SRS Building Products,https://www.srsdistribution.com/en/markets/our-brands/HWNHA/,(203) 467-1180,171 McDermott Rd,North Haven,Connecticut,US,Roofing supply store,4.2,25,"jeffrey.carpenter@srsbuildingproducts.com, justin.hemond@srsbuildingproducts.com, kyvon.stallings@srsbuildingproducts.com, roy.hemond@srsbuildingproducts.com, john.torres@srsbuildingproducts.com, amanda.migliorelli@srsbuildingproducts.com, ordersnorthhaven@srsbuildingproducts.com",7,,https://www.google.com/maps/search/?api=1&query=SRS%20Building%20Products&query_place_id=ChIJX85YH8vQ54kRHSa5KbPCEMQ,"Jan 7, 2026"
Turner Construction Company,http://www.turnerconstruction.com/office-network/kansas-city,(816) 283-0555,1220 Washington St #100,Kansas City,Missouri,US,Construction company,4.1,16,"turner@tcco.com, mmakes@tcco.com, jbjones@tcco.com, cmurguia@tcco.com, eelder@tcco.com, comayer@tcco.com, jjunghans@tcco.com",7,,https://www.google.com/maps/search/?api=1&query=Turner%20Construction%20Company&query_place_id=ChIJo8Epy2rwwIcR226MRII6u7g,"Jan 7, 2026"
Quality Child Care,https://www.qualitychildcareinc.com/,(501) 562-5800,4218 S University Ave,Little Rock,Arkansas,US,Day care center,3.8,33,"veronica@qualitychildcareinc.com, beth@qualitychildcareinc.com, kylie@qualitychildcareinc.com, chasidy@qualitychildcareinc.com, kacie@qualitychildcareinc.com, teresa@qualitychildcareinc.com, ashley@qualitychildcareinc.com",7,"WordPress, GoDaddy",https://www.google.com/maps/search/?api=1&query=Quality%20Child%20Care&query_place_id=ChIJPRrS61ak0ocRl6Y1a_x11mg,"Jan 5, 2026"
Toddle Inn Child Care Center,http://toddleinn.com/,(207) 799-3584,57 Gary L Maietta Way,South Portland,Maine,US,Day care center,3,3,"auburnti@toddleinndaycare.onmicrosoft.com, cumberland@toddleinn.com, gorhamti@toddleinndaycare.onmicrosoft.com, scarborough@toddleinn.com, southportland@toddleinn.com, westbrook@toddleinn.com, forte.test.only@gmail.com",7,WordPress,https://www.google.com/maps/search/?api=1&query=Toddle%20Inn%20Child%20Care%20Center&query_place_id=ChIJVSwOyh-fskwRyBtg-RDppBo,"Jan 5, 2026"
Turner Construction,https://www.turnerconstruction.com/locations/new-york,(646) 490-4890,"Fort Washington Parking Garage, 115 Fort Washington Ave",New York,New York,US,General contractor,2.5,4,"turner@tcco.com, lhickerson@tcco.com, jhaughton@tcco.com, sbattaglia@tcco.com, acucchiarell@tcco.com, nyinteriorspurch@tcco.com, jobergfell@tcco.com",7,,https://www.google.com/maps/search/?api=1&query=Turner%20Construction&query_place_id=ChIJG1rPFJv2wokRw7QJrZxVFfE,"Jan 7, 2026"
Ann Sacks Boston,http://www.annsacks.com/,(617) 737-2300,21 Drydock Ave,Boston,Massachusetts,US,Tile store,5,1,"ravi.kumar@kohler.com, nathaphat.asavathanachart@kohler.com, victoria.valdezhafenstein@kohler.com, sandyjenkins@kohler.com, janesmith@kohler.com, customsales@kohler.com",6,,https://www.google.com/maps/search/?api=1&query=Ann%20Sacks%20Boston&query_place_id=ChIJF9RYepx644kRfzJixvRjsy0,"Jan 7, 2026"
Yawkey Konbit Kreyol Center | Dorchester,https://www.ccab.org/family-youth-services/child-care-services/,(617) 506-6645,185 Columbia Rd,Boston,Massachusetts,US,Child care agency,4.7,36,"evelyn_correa-gonzalez@ccab.org, kathleen_nichols@ccab.org, jamie_laurenza@ccab.org, theresa_ferguson@ccab.org, ryann_hazelton@ccab.org, shannon_cioffi@ccab.org",6,WordPress,https://www.google.com/maps/search/?api=1&query=Yawkey%20Konbit%20Kreyol%20Center%20%7C%20Dorchester&query_place_id=ChIJURt2T8Z744kR_ssH1tyUdTg,"Jan 5, 2026"
Wee Care Day Care,https://weecare-daycare.com/,(360) 828-1979,12914 NE 28th St,Vancouver,Washington,US,Child care agency,4.7,27,"weekelso@weecare-daycare.com, weelongview@weecare-daycare.com, weecatlin@weecare-daycare.com, weestjohn@weecare-daycare.com, weene28th@weecare-daycare.com, weedevine@weecare-daycare.com",6,GoDaddy,https://www.google.com/maps/search/?api=1&query=Wee%20Care%20Day%20Care&query_place_id=ChIJmWPmsE2llVQRWWDM6lmQFoI,"Jan 5, 2026"
Wright Construction Company,https://wrightconstructioninc.com/locations/huntsville/,(256) 529-4993,3105 12th Ave SW,Huntsville,Alabama,US,Concrete contractor,4.6,10,"mike@wcc-huntsville.com, patrick@wcc-huntsville.com, jay@wcc-huntsville.com, logan@wcc-huntsville.com, admin@wcc-huntsville.com, jonathan@wcc-huntsville.com",6,WordPress,https://www.google.com/maps/search/?api=1&query=Wright%20Construction%20Company&query_place_id=ChIJoSLMh0BrYogRM0d1lvyAASs,"Jan 7, 2026"
